0	0	8762	304
1	38914	4311	434
2	58694	421	238
3	61218	27907	2432
4	199189	298	186
5	200995	1343	542
6	208419	2332	806
7	221169	1507	387
8	229365	2181	833
9	241246	885	237
10	245987	618	247
11	249506	722	304
12	253684	330	99
13	255483	178	135
14	256627	723	336
15	260792	811	183
16	265014	3672	432
17	282671	1406	215
18	289669	207	146
19	290979	1646	735
20	299501	1927	284
21	309232	305	111
22	310966	33	25
23	311192	1966	892
24	322269	6	6
25	322316	504	205
26	325244	191	91
27	326377	838	308
28	331004	167	84
29	331977	1248	577
30	339058	239	126
31	340458	151	90
32	341380	64	40
33	341795	85	59
34	342343	2006	761
35	353277	78	54
36	353787	397	208
37	356246	648	221
38	359844	29	26
39	360058	706	369
40	364197	255	93
41	365641	527	335
42	368852	12445	458
43	420614	1430	763
44	428669	1343	454
45	436016	2632	635
46	449554	159	84
47	450527	290	89
48	452257	1498	363
49	460609	1157	262
50	466586	715	232
51	470455	565	134
52	473545	40	31
53	473808	287	172
54	475557	74	44
55	476007	1909	472
56	486619	2255	908
57	498929	454	255
58	501691	30	23
59	501891	425	159
60	504296	131	76
61	505050	1494	515
62	513283	269	145
63	514894	2903	869
64	529601	708	329
65	533719	510	184
66	536541	234	176
67	538036	81	58
68	538539	964	399
69	543989	23	17
70	544153	978	299
71	549170	592	356
72	552797	18	8
73	552914	1035	520
74	558951	900	446
75	563855	37	34
76	564113	2171	959
77	575916	282	214
78	577718	31	23
79	577935	399	260
80	580286	608	294
81	583863	143	95
82	584795	134	71
83	585615	219	127
84	586942	2137	779
85	599004	1149	387
86	605217	1168	411
87	611748	53	32
88	612090	75	54
89	612575	402	201
90	615010	76	51
91	615504	191	101
92	616633	302	151
93	618398	3562	1295
94	638065	898	423
95	643216	194	153
96	644445	230	149
97	645905	218	144
98	647247	7	7
99	647301	812	369
100	652003	390	184
101	654408	2146	458
102	665698	423	236
103	668280	508	247
104	671353	280	188
105	673124	61	38
106	673521	499	226
107	676412	1163	388
108	682775	680	279
109	686834	1017	535
110	692631	1398	542
111	700499	695	301
112	704621	977	388
113	710024	198	133
114	711229	56	38
115	711596	2	2
116	711609	1641	537
117	719904	149	122
118	720866	1325	366
119	728207	404	214
120	730725	573	300
121	733910	1253	575
122	740905	559	308
123	744216	346	190
124	746247	973	478
125	751868	183	75
126	752956	214	153
127	754340	2462	844
128	767022	4123	959
129	787823	27	22
130	788014	2177	609
131	800022	2431	1393
132	812152	847	379
133	816830	8306	594
134	858054	1492	595
135	866312	37	25
136	866551	13	9
137	866640	786	357
138	871156	7399	1368
139	909299	464	255
140	912132	1116	532
141	918547	2472	1346
142	932613	1310	941
143	940222	1970	959
144	950979	282	174
145	952535	2536	693
146	965658	1868	684
147	975466	359	172
148	977442	1662	566
149	986647	1689	367
150	995819	2801	943
151	1011484	1258	556
152	1018870	6112	1442
153	1050194	1490	478
154	1058479	4	3
155	1058508	34	27
156	1058759	1730	406
157	1068291	610	249
158	1071833	122	76
159	1072587	185	99
160	1073673	125	70
161	1074445	19	17
162	1074578	79	38
163	1075068	1247	347
164	1081590	1973	581
165	1091924	302	181
166	1093794	730	366
167	1097931	36	33
168	1098182	17	16
169	1098311	105	52
170	1098932	121	65
171	1099702	193	77
172	1100808	141	69
173	1101640	615	293
174	1105116	117	65
175	1105776	1352	354
176	1112894	182	140
177	1114085	247	90
178	1115462	993	439
179	1121141	1296	599
180	1128454	245	117
181	1129927	1153	260
182	1136008	91	54
183	1136541	2	2
184	1136558	974	481
185	1142056	240	76
186	1143407	520	117
187	1146127	116	50
188	1146804	168	104
189	1147851	346	206
190	1150025	28	24
191	1150234	1211	357
192	1156766	244	116
193	1158279	1017	395
194	1164065	226	158
195	1165470	1277	505
196	1172679	1011	537
197	1178599	542	287
198	1181510	177	107
199	1182593	205	73
200	1183753	295	173
201	1185528	76	47
202	1186048	992	454
203	1191734	149	106
204	1192706	65	35
205	1193105	33	27
206	1193336	7	7
207	1193395	768	431
208	1197896	13	11
209	1198000	434	191
210	1200521	221	113
211	1201918	68	19
212	1202334	14	5
213	1202426	1111	340
214	1208237	66	32
215	1208667	30	21
216	1208864	2121	808
217	1220679	197	51
218	1221728	1968	717
219	1232557	1599	576
220	1241501	2058	939
221	1253120	190	119
222	1254303	21	15
223	1254446	34	27
224	1254693	60	30
225	1255064	250	117
226	1256567	21	18
227	1256714	84	16
228	1257222	4	4
229	1257257	1981	979
230	1268327	1338	1058
231	1276000	449	278
232	1278600	272	154
233	1280194	1064	122
234	1285745	67	56
235	1286189	6392	431
236	1314813	38	28
237	1315070	35	13
238	1315268	652	25
239	1318020	97	59
240	1318617	1358	256
241	1325333	88	30
242	1325818	22	17
243	1325977	3394	908
244	1343291	4409	777
245	1366490	2284	213
246	1376796	1783	117
247	1384712	4262	708
248	1406316	902	145
249	1411295	297	193
250	1413093	387	138
251	1415244	32	16
252	1415443	725	246
253	1419385	949	152
254	1424097	34	26
255	1424345	208	81
